#Tile_set 
Image/Brique.png
32 32
3 3
16 25
0	2	2	3	0	0	2	2	2	2	0	0	0	2	2	8
0	2	3	3	0	0	2	2	0	0	2	2	2	0	0	8
2	2	2	3	3	0	0	0	2	2	3	3	0	0	0	8
0	2	2	3	0	0	2	2	2	2	0	0	0	2	2	8
0	2	3	3	0	0	2	2	0	0	2	2	2	0	0	8
2	2	2	3	3	0	0	0	2	2	3	3	0	0	0	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8

	
